"","city","cbsa","employment_rate","employment_YoY","state","median_income","income_moe_USD","house_price_2020","house_price_2021","x2021_i","x2021_ii","x2021_iii","x2021_iv_r","x2022_i_p","houseprice_change21_22","median_tax_USD","tax_moe_USD"
"1","Atlanta","12060","96.805","1.868","GA","77589","1068","260.8","317.2","279.3","315.0","325.7","339.5","350.3","25.4","2226","31"
"2","Sandy Springs","12060","96.805","1.868","GA","77589","1068","260.8","317.2","279.3","315.0","325.7","339.5","350.3","25.4","2226","31"
"3","Alpharetta","12060","96.805","1.868","GA","77589","1068","260.8","317.2","279.3","315.0","325.7","339.5","350.3","25.4","2226","31"
"4","Augusta","12260","96.584","1.25","GA-SC","56515","2241","","","","","","","","","1103","61"
"5","Richmond County","12260","96.584","1.25","GA-SC","56515","2241","","","","","","","","","1103","61"
"6","Charleston","16700","96.947","1.505","SC","72719","2745","324.4","375.2","353.5","378.5","375.1","391.0","384.0","8.6","1360","32"
"7","North Charleston","16700","96.947","1.505","SC","72719","2745","324.4","375.2","353.5","378.5","375.1","391.0","384.0","8.6","1360","32"
"8","Charlotte","16740","96.174","1.567","NC-SC","71041","1298","296.2","354.1","320.7","352.6","363.5","370.3","379.9","18.5","1801","28"
"9","Concord","16740","96.174","1.567","NC-SC","71041","1298","296.2","354.1","320.7","352.6","363.5","370.3","379.9","18.5","1801","28"
"10","Gastonia","16740","96.174","1.567","NC-SC","71041","1298","296.2","354.1","320.7","352.6","363.5","370.3","379.9","18.5","1801","28"
"11","Chattanooga","16860","96.804","1.305","TN-GA","62385","2423","220.1","255.3","232.3","255.1","259.4","269.9","281.0","21","1366","41"
"12","Colorado Springs","17820","95.595","2.262","CO","79014","3015","361.7","432.9","387.5","439.2","441.2","442.7","455.0","17.4","1440","40"
"13","Columbia","17900","96.769","1.304","SC","58213","1708","202.9","233.2","214.9","234.5","237.7","241.3","254.9","18.6","1066","36"
"14","Des Moines","19780","96.425","1.101","IA","74208","1999","229.6","258.2","241.9","258.9","265.7","260.3","259.5","7.3","3571","64"
