cbsa,city,state
11380,ANDREWS,TX
27580,JAYUYA,PR
28540,KETCHIKAN,AK
42180,SANTA ISABEL,PR
17620,COAMO,PR
25820,HEREFORD,TX
37780,PECOS,TX
49820,ZAPATA,TX
13700,BIG SPRING,TX
22340,FITZGERALD,GA
29500,LAMESA,TX
18220,CONNERSVILLE,IN
30580,LIBERAL,KS
46900,VERNON,TX
38780,PORTALES,NM
28780,KINGSVILLE,TX
18780,CRAIG,CO
27940,JUNEAU,AK
43660,SNYDER,TX
19980,DODGE CITY,KS
45020,SWEETWATER,TX
37060,OXFORD,MS
18860,CRESCENT CITY,CA
49460,YANKTON,SD
15580,BUTTE,MT
45580,THOMASTON,GA
20300,DUMAS,TX
46820,VERMILLION,SD
43260,SHERIDAN,WY
23240,FREDERICKSBURG,TX
17580,CLOVIS,NM
17260,CLARKSDALE,MS
19620,DEL RIO,TX
23780,GARDEN CITY,KS
25700,HAYS,KS
36900,OTTUMWA,IA
33580,MITCHELL,SD
34660,MURRAY,KY
26220,HOOD RIVER,OR
38920,PORT LAVACA,TX
39260,PRINEVILLE,OR
32500,MAYSVILLE,KY
32020,MARION,OH
24700,GREENSBURG,IN
18380,CORDELE,GA
37420,PAMPA,TX
46620,UVALDE,TX
30060,LEBANON,MO
37500,PARAGOULD,AR
21840,FAIRFIELD,IA
30220,LEVELLAND,TX
47980,WATERTOWN,SD
43980,SPENCER,IA
32660,MCMINNVILLE,TN
19700,DEMING,NM
20980,EL DORADO,AR
44540,STERLING,CO
24980,GRENADA,MS
39700,RAYMONDVILLE,TX
25580,HASTINGS,NE
46860,VERNAL,UT
36940,OWATONNA,MN
21380,EMPORIA,KS
21980,FALLON,NV
34140,MOSCOW,ID
18100,COLUMBUS,NE
32260,MARSHALLTOWN,IA
10220,ADA,OK
11860,ATCHISON,KS
22700,FORT DODGE,IA
31060,LOS ALAMOS,NM
26700,HURON,SD
11580,ARCADIA,FL
41460,SALINA,KS
34300,MOUNTAIN HOME,ID
13300,BEEVILLE,TX
38180,PIERRE,SD
15140,BROWNSVILLE,TN
18820,CRAWFORDSVILLE,IN
20580,EAGLE PASS,TX
25100,GUYMON,OK
19860,DICKINSON,ND
42740,SEDALIA,MO
22300,FINDLAY,OH
47920,WASHINGTON COURT HOUSE,OH
10100,ABERDEEN,SD
13420,BEMIDJI,MN
45740,TOCCOA,GA
10980,ALPENA,MI
45520,THE DALLES,OR
11060,ALTUS,OK
15100,BROOKINGS,SD
33300,MILLEDGEVILLE,GA
19580,DEFIANCE,OH
44260,STARKVILLE,MS
44500,STEPHENVILLE,TX
30900,LOGANSPORT,IN
35860,NORTH VERNON,IN
38380,PLAINVIEW,TX
35820,NORTH PLATTE,NE
14780,BRENHAM,TX
23340,FREMONT,NE
15060,BROOKINGS,OR
43180,SHELBYVILLE,TN
45000,SUSANVILLE,CA
18420,CORINTH,MS
39420,PULLMAN,WA
17060,CHILLICOTHE,OH
12380,AUSTIN,MN
23140,FRANKFORT,IN
48500,WEST POINT,MS
26540,HUNTINGTON,IN
10660,ALBERT LEA,MN
24460,GREAT BEND,KS
36830,OTHELLO,WA
28860,KIRKSVILLE,MO
10820,ALEXANDRIA,MN
21900,FAIRMONT,WV
47460,WALLA WALLA,WA
48780,WILLISTON,ND
39940,REXBURG,ID
49100,WINONA,MN
22620,FORREST CITY,AR
37940,PERU,IN
47180,VINCENNES,IN
29260,LA GRANDE,OR
36820,OSKALOOSA,IA
42980,SEYMOUR,IN
11660,ARKADELPHIA,AR
34700,MUSCATINE,IA
39980,RICHMOND,IN
23300,FREEPORT,IL
40530,ROCKPORT,TX
46420,UNION,SC
20540,DYERSBURG,TN
21120,ELK CITY,OK
28500,KERRVILLE,TX
34500,MOUNT VERNON,IL
33620,MOBERLY,MO
