cbsa,city_msa,state,stateabbrv,risk_score,n_climate_risk
38860,Portland,Maine,ME,9.805792966460626,0.8628857307985291
19780,Des Moines,Iowa,IA,15.206695345283824,0.7178136057582288
26620,Huntsville,Alabama,AL,13.665523853842537,0.7592105812324704
22220,Fayetteville,Arkansas,AR,16.61070805163622,0.6801008139675901
17820,Colorado Springs,Colorado,CO,16.865224640460884,0.6732643152107198
37340,Palm Bay,Florida,FL,30.218700714391023,0.3145803370822443
37860,Pensacola,Florida,FL,27.162830286749713,0.39666321614408195
29460,Lakeland,Florida,FL,28.92348693485065,0.3493707113937944
38940,Port St. Lucie,Florida,FL,41.930238616014215,0
35840,Sarasota,Florida,FL,24.18572155105568,0.47663049947373937
12060,Atlanta,Georgia,GA,16.312105093906517,0.6881215043231534
12260,Augusta,Georgia,GA,19.551030060523985,0.6011216485961441
26900,Indianapolis,Indiana,IN,22.21710935540322,0.5295088399013219
22180,Fayetteville,North Carolina,NC,17.744000976788264,0.649659750342817
49180,Winston,North Carolina,NC,16.747941254315975,0.6764146313739369
16740,Charlotte,North Carolina,NC,16.368428591765817,0.6866086146334252
39580,Raleigh,North Carolina,NC,11.750802543446456,0.8106413736956424
36420,Oklahoma City,Oklahoma,OK,32.51090968732113,0.2530099543174532
16700,Charleston,South Carolina,SC,25.035971607427683,0.45379217101641256
24860,Greenville,South Carolina,SC,15.117283646908604,0.7202152683281016
34820,Myrtle Beach,South Carolina,SC,26.24959195922409,0.4211934548986026
17900,Columbia,South Carolina,SC,17.58532201739729,0.653921981396704
34980,Nashville,Tennessee,TN,28.296548389730063,0.36621073193683107
16860,Chattanooga,Tennessee,TN,20.757475846420267,0.5687156464821004
28940,Knoxville,Tennessee,TN,15.650793173410102,0.7058848184680392
41700,San Antonio,Texas,TX,39.952943339570595,0.05311157422703239
32580,McAllen,Texas,TX,38.061258729011314,0.10392358435258175
40060,Richmond,Virginia,VA,4.701154273844042,1
44060,Spokane,Washington,WA,11.898868598083514,0.8066642129017805
