na,cbsa,msa,state,pop_growth,popestimate2021,median_income,avg_emp_change,median_rent2022,median_rent2021,house_price_2021,anchor_city
1,12060,Atlanta-Sandy Springs-Alpharetta,GA,0.703,6144050,77589,3.0655,1226,1126,317200,Atlanta
2,12260,Augusta-Richmond County,GA-SC,0.689,615933,56515,1.8641,854,767,375200,Augusta
3,16700,Charleston-North Charleston,SC,1.257,813052,72719,2.3757,1318,1155,375200,Charleston
4,16740,Charlotte-Concord-Gastonia,NC-SC,1.175,2701046,71041,2.6157,1100,1090,354100,Charlotte
5,16860,Chattanooga,TN-GA,0.717,567641,62385,2.961,797,746,255300,Chattanooga
6,17820,Colorado Springs,CO,0.822,762793,79014,1.3,1116,1033,432900,Colorado Springs
7,17900,Columbia,SC,0.901,838250,58213,1.4736,934,913,233200,Columbia
8,19780,Des Moines-West Des Moines,IA,1.168,719146,74208,1.3035,818,783,258200,Des Moines
9,22180,Fayetteville,NC,0.814,524588,55027,2.3854,840,799,189800,Fayetteville
10,22220,Fayetteville-Springdale-Rogers,AR,2.028,560709,71767,1.7117,738,660,271200,Fayetteville
11,24860,Greenville-Anderson,SC,1.141,940774,62265,2.1585,948,897,279100,Greenville
12,26620,Huntsville,AL,1.763,502728,76963,2.565,828,743,280400,Huntsville
13,26900,Indianapolis-Carmel-Anderson,IN,0.62,2126804,70224,3.4493,833,831,260500,Indianapolis
14,28940,Knoxville,TN,1.337,893412,62592,2.8531,859,782,279000,Knoxville
15,29460,Lakeland-Winter Haven,FL,3.33,753520,56379,4.7599,906,859,270000,Lakeland
16,32580,McAllen-Edinburg-Mission,TX,0.935,880356,44818,2.6371000000000002,677,610,349500,McAllen
17,34820,Myrtle Beach-Conway-North Myrtle Beach,SC-NC,3.705,509794,59073,3.3864,975,808,294000,Myrtle Beach
18,34980,Nashville-Davidson--Murfreesboro--Franklin,TN,0.859,2012476,72725,3.6637,1196,1114,349500,Nashville
19,35840,North Port-Sarasota-Bradenton,FL,2.706,859760,70095,3.7887,1170,1076,405000,Sarasota
20,36420,Oklahoma City,OK,0.906,1441647,61815,2.703,794,785,194200,Oklahoma City
21,37340,Palm Bay-Melbourne-Titusville,FL,1.418,616628,65333,3.3806,1046,976,305000,Palm Bay
22,37860,Pensacola-Ferry Pass-Brent,FL,0.944,516388,64877,2.7199,944,901,281000,Pensacola
23,38860,Portland-South Portland,ME,0.87,556893,78558,0.9179,1435,1295,418100,Portland
24,38940,Port St. Lucie,FL,2.801,503521,63771,3.5695,1059,999,332000,Port St. Lucie
25,39580,Raleigh-Cary,NC,1.985,1448411,85303,2.3456,1155,1134,392800,Raleigh
26,40060,Richmond,VA,0.633,1324062,74151,2.6413,1120,1098,342800,Richmond
27,41700,San Antonio-New Braunfels,TX,1.368,2601788,66775,2.3486,1039,981,291200,San Antonio
28,44060,Spokane-Spokane Valley,WA,1.056,593466,65283,3.129,842,820,382100,Spokane
29,49180,Winston-Salem,NC,0.749,681438,57392,2.4865,703,712,235600,Winston
