cbsa,msa,anchor_city,state,n_pop_growth,n_avg_emp_change,n_occ_rate2021,n_rent_change,n_income_to_homeprice,n_rent_to_income
12060,Atlanta-Sandy Springs-Alpharetta,Atlanta,GA,0.026904376012965952,0.5589796980739199,0.31007751937984407,0.462560289633494,0.38774903426438423,0.27061097190750283
12260,Augusta-Richmond County,Augusta,GA-SC,0.02236628849270663,0.24627798021863614,0.29069767441860483,0.57480993002965,0.8821930628003571,0.3996891019116168
16700,Charleston-North Charleston,Charleston,SC,0.206482982171799,0.37943779281624157,0.2713178294573629,0.7010918027783359,0.6549749358612361,0.08254139279902617
16740,Charlotte-Concord-Gastonia,Charlotte,NC-SC,0.17990275526742303,0.44190525767829253,0.329457364341086,0.09946380416345772,0.6191454686516011,0.15660681365010565
16860,Chattanooga,Chattanooga,TN-GA,0.03144246353322527,0.5317803227485685,0.49806201550387497,0.3693403452278073,0.389045126611834,0.6210899426741521
17820,Colorado Springs,Colorado Springs,CO,0.06547811993517016,0.09945340968245706,0.48449612403100806,0.42398055396859263,0.714381307950438,0.4680166823038622
17900,Columbia,Columbia,SC,0.09108589951377635,0.1446382092660073,0.2325581395348844,0.1625066424367611,0.3613326097328051,0.10988346623476541
19780,Des Moines-West Des Moines,Des Moines,IA,0.17763371150729335,0.10036439354502864,0.21317829457364246,0.26144161906140795,0.16257460308451077,0.8140838382564638
22180,Fayetteville,Fayetteville,NC,0.06288492706645055,0.38196251952108284,0.25193798449612365,0.2915992029092922,0.1493382133933373,0.26954373942473087
22220,Fayetteville-Springdale-Rogers,Fayetteville,AR,0.4564019448946515,0.2066111400312337,0.57170542635659,0.5964805293615844,0.2824114078248252,1
24860,Greenville-Anderson,Greenville,SC,0.16888168557536468,0.3229047371160854,0.31007751937984407,0.3168680028194413,0.5009373530788299,0.2851823523808733
26620,Huntsville,Huntsville,AL,0.3705024311183144,0.42870900572618426,0.569767441860465,0.5792423426833726,0.23059837538125394,0.937218828313471
26900,Indianapolis-Carmel-Anderson,Indianapolis,IN,0,0.658875585632483,0.2713178294573629,0.06860724103065555,0.2563879284762063,0.6381643106730985
28940,Knoxville,Knoxville,TN,0.23241491085899513,0.5036959916710047,0.77713178294573515,0.5065843967067801,0.49435032671562373,0.5476004559386869
29460,Lakeland-Winter Haven,Lakeland,FL,0.8784440842787682,1,0.6763565891472862,0.30710433632700207,0.5760721808283453,0.17129944987938672
32580,McAllen-Edinburg-Mission,McAllen,TX,0.1021069692058347,0.44747527329515885,0.5620155038759677,0.5584282999962582,1,0.39434008785007835
34820,Myrtle Beach-Conway-North Myrtle Beach,Myrtle Beach,SC-NC,1,0.6425039042165539,0.5232558139534893,1,0.6175436801187473,0.3850938159843802
34980,Nashville-Davidson--Murfreesboro--Franklin,Nashville,TN,0.07747163695299837,0.714679854242582,0.20736434108527013,0.39325024780865214,0.5799030360158574,0.16007457971458827
35840,North Port-Sarasota-Bradenton,Sarasota,FL,0.6761750405186385,0.7472149921915668,0.4903100775193804,0.45595200944311454,0.7640913429018866,0.15559927764132175
36420,Oklahoma City,Oklahoma City,OK,0.0927066450567261,0.4646277980218636,0,0.1099079881948337,0,0.5193941214342297
37340,Palm Bay-Melbourne-Titusville,Palm Bay,FL,0.25867098865478116,0.6409942738157209,0.569767441860465,0.38464512749300483,0.5476857400363137,0.21209380667798994
37860,Pensacola-Ferry Pass-Brent,Pensacola,FL,0.10502431118314423,0.4690265486725664,0.6007751937984489,0.27523346702722457,0.4599689167992621,0.35630390723791416
38860,Portland-South Portland,Portland,ME,0.08103727714748785,0,1,0.5505497254799816,0.6861270291120596,0
38940,Port St. Lucie,Port St. Lucie,FL,0.706969205834684,0.690161374284227,0.1356589147286828,0.33147597254875977,0.6640906784555678,0.11240179631878333
39580,Raleigh-Cary,Raleigh,NC,0.4424635332252837,0.37160333159812603,0.34883720930232526,0.14206845699364085,0.532112950474057,0.43780960005691505
40060,Richmond,Richmond,VA,0.004213938411669372,0.44856845393024475,0.39728682170542606,0.1489893320435514,0.5366201829688968,0.23009952776360565
41700,San Antonio-New Braunfels,San Antonio,TX,0.24246353322528366,0.3723841749089016,0.48449612403100806,0.3272050392920731,0.4682250355801588,0.246083616286774
44060,Spokane-Spokane Valley,Spokane,WA,0.14132901134521883,0.5755075481520042,0.8914728682170537,0.17996109190105342,0.7757758784947519,0.5383954685370023
49180,Winston-Salem,Winston,NC,0.04181523500810373,0.40827693909422175,0.42635658914728763,0,0.3930449745005634,0.5596334787079904
