cbsa,MSA,state,pop_percent_change,median_income,area,avg_emp_change,areaname22,median_rent2022,median_rent2021,house_price_2021
10540,Albany-Lebanon,OR,0.7003474592045666,65196,"Albany, OR MSA",2.2893,"Albany, OR MSA",915,908,NA
11180,Ames,IA,0.7094632340031602,64569,"Ames, IA MSA",0.6287,"Ames, IA HUD Metro FMR Area",841,794,NA
11700,Asheville,NC,0.6149697307936454,60261,"Asheville, NC MSA",3.8051,"Asheville, NC HUD Metro FMR Area",1267,1179,378600
12020,Athens-Clarke County,GA,0.9835928732412654,59628,"Athens-Clarke County, GA MSA",2.3719,"Athens-Clarke County, GA MSA",832,749,NA
12060,Atlanta-Sandy Springs-Alpharetta,GA,0.7032121506353068,77589,"Atlanta-Sandy Springs-Roswell, GA MSA",3.0655,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1226,1126,317200
12220,Auburn-Opelika,AL,1.4988459401721639,52424,"Auburn-Opelika, AL MSA",3.1493,"Auburn-Opelika, AL MSA",748,672,NA
12260,Augusta-Richmond County,GA-SC,0.688713790623161,56515,"Augusta-Richmond County, GA-SC MSA",1.8641,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",854,767,NA
12420,Austin-Round Rock-Georgetown,TX,2.3183167509378566,86530,"Austin-Round Rock, TX MSA",2.3049,"Austin-Round Rock, TX MSA",1333,1309,488600
12540,Bakersfield,CA,0.8435192643492231,58217,"Bakersfield, CA MSA",3.2058,"Bakersfield, CA MSA",826,796,NA
12700,Barnstable Town,MA,1.5032602666736545,83537,NA,NA,"Barnstable Town, MA MSA",1509,1334,617800
13380,Bellingham,WA,0.6717875620314645,72055,"Bellingham, WA MSA",3.3188,"Bellingham, WA MSA",1069,1020,NA
13460,Bend,OR,2.7318100875322915,79796,"Bend-Redmond, OR MSA",2.8791,"Bend-Redmond, OR MSA",1134,1113,NA
13740,Billings,MT,1.3382674042488634,70018,"Billings, MT MSA",2.2641,"Billings, MT HUD Metro FMR Area",777,773,NA
13900,Bismarck,ND,0.5618481887690213,67793,"Bismarck, ND MSA",1.195,"Bismarck, ND MSA",783,769,273700
14260,Boise City,ID,3.3377903040745545,73343,"Boise City, ID MSA",2.2859,"Boise City, ID HUD Metro FMR Area",947,842,468600
14540,Bowling Green,KY,1.4535109846759047,57057,"Bowling Green, KY MSA",2.2342,"Bowling Green, KY HUD Metro FMR Area",726,694,236400
15500,Burlington,NC,1.184227371655358,58400,"Burlington, NC MSA",2.3975,"Burlington, NC MSA",748,730,NA
15980,Cape Coral-Fort Myers,FL,3.0466378702697474,66256,"Cape Coral-Fort Myers, FL MSA",4.0821,"Cape Coral-Fort Myers, FL MSA",1063,1019,360000
16180,Carson City,NV,0.5385415068936721,65330,"Carson City, NV MSA",4.2103,"Carson City, NV MSA",908,826,NA
16700,Charleston-North Charleston,SC,1.2567235519533326,72719,"Charleston-North Charleston, SC MSA",2.3757,"Charleston-North Charleston, SC MSA",1318,1155,375200
16740,Charlotte-Concord-Gastonia,NC-SC,1.175465835601096,71041,"Charlotte-Concord-Gastonia, NC-SC MSA",2.6157,"Charlotte-Concord-Gastonia, NC-SC HUD Metro FMR Area",1100,1090,354100
16820,Charlottesville,VA,0.5263585558093553,78819,"Charlottesville, VA MSA",2.4225,"Charlottesville, VA MSA",1151,1171,NA
16860,Chattanooga,TN-GA,0.7171765741245105,62385,"Chattanooga, TN-GA MSA",2.961,"Chattanooga, TN-GA MSA",797,746,255300
17300,Clarksville,TN-KY,2.0823551726175116,59255,"Clarksville, TN-KY MSA",2.9838,"Clarksville, TN-KY HUD Metro FMR Area",750,734,NA
17420,Cleveland,TN,1.2888924075686803,56350,"Cleveland, TN MSA",2.5849,"Cleveland, TN MSA",663,650,NA
17660,Coeur d'Alene,ID,4.1373677930563115,67593,"Coeur d'Alene, ID MSA",2.9582,"Coeur d'Alene, ID MSA",897,805,NA
17780,College Station-Bryan,TX,1.1816383004046656,49927,"College Station-Bryan, TX MSA",1.3297,"College Station-Bryan, TX MSA",887,817,NA
17820,Colorado Springs,CO,0.8221282017729947,79014,"Colorado Springs, CO MSA",1.3,"Colorado Springs, CO HUD Metro FMR Area",1116,1033,432900
17860,Columbia,MO,0.9454025302306195,61781,"Columbia, MO MSA",1.3431,"Columbia, MO HUD Metro FMR Area",759,760,255000
17900,Columbia,SC,0.9007339001188058,58213,"Columbia, SC MSA",1.4736,"Columbia, SC HUD Metro FMR Area",934,913,233200
18700,Corvallis,OR,0.8931667489781121,64163,"Corvallis, OR MSA",1.8057,"Corvallis, OR MSA",1148,1109,NA
