areaname22,cbsasub22,rent_50_2,rent_50_0,rent_50_1,rent_50_3,rent_50_4
"Abilene, TX MSA",METRO10180M10180,981,715,760,1337,1658
"Aguadilla-Isabela, PR MSA",METRO10380M10380,486,407,423,604,711
"Akron, OH MSA",METRO10420M10420,953,653,751,1206,1292
"Albany, GA MSA",METRO10500M10500,865,711,737,1121,1359
"Albany, OR MSA",METRO10540M10540,1203,854,915,1674,1965
"Albany-Schenectady-Troy, NY MSA",METRO10580M10580,1301,959,1068,1608,1764
"Albuquerque, NM MSA",METRO10740M10740,1071,716,883,1521,1833
"Alexandria, LA MSA",METRO10780M10780,868,577,676,1165,1268
"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",METRO10900M10900,1288,898,1011,1660,1747
"Warren County, NJ HUD Metro FMR Area",METRO10900MM5640,1461,1058,1192,1806,1999
"Altoona, PA MSA",METRO11020M11020,895,596,731,1106,1214
"Amarillo, TX HUD Metro FMR Area",METRO11100M11100,970,664,761,1314,1518
"Oldham County, TX HUD Metro FMR Area",METRO11100N48359,1034,707,811,1278,1618
"Ames, IA HUD Metro FMR Area",METRO11180M11180,994,830,841,1412,1667
"Boone County, IA HUD Metro FMR Area",METRO11180M19015,843,641,645,1113,1399
"Anchorage, AK HUD Metro FMR Area",METRO11260M11260,1335,938,1015,1896,2285
"Matanuska-Susitna Borough, AK HUD Metro FMR Area",METRO11260N02170,1096,788,836,1557,1876
"Ann Arbor, MI MSA",METRO11460M11460,1369,1136,1137,1692,1970
"Anniston-Oxford-Jacksonville, AL MSA",METRO11500M11500,788,595,599,1046,1177
"Appleton, WI MSA",METRO11540M11540,936,684,728,1265,1269
"Arecibo, PR MSA",METRO11640M11640,488,421,428,651,770
"Asheville, NC HUD Metro FMR Area",METRO11700M11700,1444,1245,1267,1969,2472
"Haywood County, NC HUD Metro FMR Area",METRO11700N37087,1031,701,905,1281,1564
"Athens-Clarke County, GA MSA",METRO12020M12020,957,784,832,1281,1500
"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",METRO12060M12060,1397,1205,1226,1730,2115
