"ESTABLISHMENT DATA  SEASONALLY ADJUSTED
 Employees on nonfarm payrolls by state and metropolitan area, 3-month average change, seasonally adjusted",,,,
[In thousands],,,,
,,,,
State and area,Total,,,
,"May
2021","Mar.
2022","Apr.
2022","May
2022(p)"
,,,,
Alabama,2.5,4.7,3.9,5.2
Anniston-Oxford-Jacksonville,-0.2,0.2,0.2,0.0
Auburn-Opelika,0.2,0.3,0.3,0.4
Birmingham-Hoover,0.4,1.2,1.6,2.0
Daphne-Fairhope-Foley,0.1,0.2,-0.3,-0.5
Decatur,0.0,0.1,0.2,0.2
Dothan,0.1,0.0,0.0,0.0
Florence-Muscle Shoals,-0.1,0.2,0.1,0.1
Gadsden,-0.2,0.0,0.0,0.0
Huntsville,1.1,0.7,1.0,1.1
Mobile,0.6,0.2,0.2,0.0
Montgomery,-0.2,0.0,0.2,0.4
Tuscaloosa,-0.1,0.2,0.3,0.6
,,,,
Alaska,-1.2,0.0,0.0,-1.1
Anchorage,-0.1,0.8,0.7,0.5
Fairbanks,-0.2,0.1,0.0,-0.2
,,,,
Arizona,11.8,5.6,6.5,4.8
Flagstaff,0.4,0.3,-0.1,-0.3
Lake Havasu City-Kingman,0.0,0.1,0.0,-0.2
Phoenix-Mesa-Scottsdale,8.9,4.3,4.3,4.5
Prescott,0.2,0.0,-0.1,0.1
Sierra Vista-Douglas,-0.1,0.0,0.0,-0.1
Tucson,2.0,0.4,0.4,0.3
Yuma,0.3,0.0,0.4,0.4
,,,,
Arkansas,4.2,1.2,0.3,-0.4
Fayetteville-Springdale-Rogers,1.3,1.4,1.1,0.3
Fort Smith,0.3,0.3,0.2,0.1
Hot Springs,0.1,-0.1,0.1,0.1
Jonesboro,0.1,0.1,0.0,0.1
Little Rock-North Little Rock-Conway,2.1,0.1,0.6,0.8
Pine Bluff,0.0,0.0,0.1,0.1
,,,,
California,132.1,90.0,84.8,54.0
Bakersfield,2.5,1.8,1.7,0.8
Chico,0.2,0.2,0.3,0.2
El Centro,0.5,0.1,0.1,0.1
Fresno,2.1,1.9,1.3,0.9
Hanford-Corcoran,0.0,0.3,0.1,-0.1
Los Angeles-Long Beach-Anaheim,54.5,27.2,27.0,15.4
Madera,0.4,0.2,0.2,0.0
Merced,0.6,0.5,0.3,0.2
Modesto,0.6,0.7,0.5,0.0
Napa,0.6,0.3,0.1,0.0
Oxnard-Thousand Oaks-Ventura,1.6,1.5,0.9,1.2
Redding,0.2,0.4,0.4,0.1
Riverside-San Bernardino-Ontario,7.6,9.6,7.6,5.3
Sacramento--Roseville--Arden-Arcade,5.9,7.7,6.0,4.2
Salinas,1.3,0.5,0.7,0.3
San Diego-Carlsbad,11.9,6.2,6.5,5.3
San Francisco-Oakland-Hayward,14.7,10.4,10.4,7.7
San Jose-Sunnyvale-Santa Clara,4.3,3.8,4.5,3.4
San Luis Obispo-Paso Robles-Arroyo Grande,0.9,0.5,0.2,0.2
Santa Cruz-Watsonville,0.9,0.2,0.1,0.1
Santa Maria-Santa Barbara,2.1,0.7,0.5,0.7
Santa Rosa,1.7,0.8,0.3,0.1
Stockton-Lodi,1.0,0.9,0.4,0.0
Vallejo-Fairfield,0.6,0.4,0.4,0.1
Visalia-Porterville,1.1,0.5,0.4,0.4
Yuba City,0.3,0.1,0.1,0.0
,,,,
Colorado,14.0,9.1,12.4,8.9
Boulder,1.5,1.1,1.4,0.9
Colorado Springs,1.2,0.8,0.4,0.5
Denver-Aurora-Lakewood,7.1,6.8,6.4,4.1
Fort Collins,0.8,0.7,0.2,0.2
Grand Junction,0.2,0.3,0.0,-0.1
Greeley,0.3,0.4,0.4,0.4
Pueblo,0.2,0.3,0.2,0.1
,,,,
Connecticut,5.4,3.2,3.5,2.2
Bridgeport-Stamford-Norwalk,1.8,1.7,0.4,-0.8
Danbury,0.2,0.1,0.0,-0.1
Hartford-West Hartford-East Hartford,0.3,1.6,2.7,0.9
New Haven,1.3,1.0,0.3,-0.4
Norwich-New London-Westerly,0.3,0.3,0.6,0.6
Waterbury,0.1,0.0,-0.1,-0.2
,,,,
Delaware,0.5,0.9,1.2,0.6
Dover,0.3,0.0,0.1,-0.1
Salisbury(1),0.1,-0.1,1.2,0.0
,,,,
District of Columbia,2.7,0.5,1.4,1.3
Washington-Arlington-Alexandria,8.9,7.2,7.8,5.6
,,,,
Florida,44.6,31.8,37.1,25.9
Cape Coral-Fort Myers,2.1,1.3,1.3,1.6
Crestview-Fort Walton Beach-Destin,0.3,0.1,0.0,-0.1
Deltona-Daytona Beach-Ormond Beach,0.8,-0.1,0.9,0.9
Gainesville,0.7,0.0,0.1,0.0
Homosassa Springs,0.0,0.0,-0.1,-0.1
Jacksonville,2.2,3.8,2.2,0.1
Lakeland-Winter Haven,0.6,0.4,0.8,0.0
Miami-Fort Lauderdale-West Palm Beach,12.7,8.0,9.9,8.9
Naples-Immokalee-Marco Island,1.4,0.2,0.3,0.2
North Port-Sarasota-Bradenton,1.9,1.4,1.4,1.2
Ocala,0.1,0.3,0.1,0.1
Orlando-Kissimmee-Sanford,8.7,5.5,5.6,2.7
Palm Bay-Melbourne-Titusville,0.7,0.2,0.4,0.5
Panama City,0.0,-0.1,-0.1,-0.2
Pensacola-Ferry Pass-Brent,0.1,0.3,0.7,0.4
Port St. Lucie,0.5,0.3,0.3,0.5
Punta Gorda,0.2,0.2,0.2,0.2
Sebastian-Vero Beach,0.1,0.1,0.1,0.2
Sebring,0.0,0.0,0.1,0.1
Tallahassee,0.8,0.4,0.4,0.6
Tampa-St. Petersburg-Clearwater,6.7,4.2,4.7,4.8
The Villages,0.2,0.1,0.2,0.0
,,,,
Georgia,15.3,23.9,21.5,18.0
Albany,0.2,0.0,0.1,0.0
Athens-Clarke County,0.4,0.3,0.3,0.4
Atlanta-Sandy Springs-Roswell,8.0,16.9,13.5,7.6
Augusta-Richmond County,0.0,0.0,0.9,1.0
Brunswick,0.1,0.0,-0.1,-0.1
Columbus,0.0,0.2,0.3,0.4
Dalton,0.1,-0.1,-0.1,-0.2
Gainesville,0.2,0.2,0.1,0.1
Hinesville,0.0,0.0,0.0,0.0
Macon-Bibb County,0.3,0.1,0.3,0.3
Rome,0.0,0.0,0.0,0.0
Savannah,1.0,1.1,0.7,0.4
Valdosta,0.0,0.1,0.1,0.2
Warner Robins,0.2,0.1,0.0,-0.1
,,,,
Hawaii,7.9,1.7,2.4,1.0
Kahului-Wailuku-Lahaina,1.7,0.1,0.2,0.0
Urban Honolulu,4.9,1.5,2.5,1.1
,,,,
Idaho,2.7,2.0,0.5,0.1
Boise City,1.7,0.7,-0.2,0.1
Coeur d'Alene,0.2,0.3,0.0,-0.2
Idaho Falls,0.1,0.4,0.3,0.1
Lewiston,0.1,0.0,0.0,0.0
Pocatello,0.0,0.0,-0.2,0.1
Twin Falls,0.1,0.4,0.3,0.3
,,,,
Illinois,12.3,17.7,16.2,12.1
Bloomington,0.3,0.3,-0.1,-0.2
Carbondale-Marion,0.1,0.1,0.0,0.0
Champaign-Urbana,0.3,-0.4,-1.7,0.1
Chicago-Naperville-Elgin,9.6,11.7,8.1,6.8
Danville,0.0,-0.1,0.0,0.0
Davenport-Moline-Rock Island(1),0.4,0.3,0.9,0.8
Decatur,0.2,0.2,0.1,0.1
Kankakee,-0.2,0.3,0.1,0.1
Peoria,0.1,0.0,-0.1,-0.3
Rockford,0.1,0.5,0.2,-0.1
Springfield,0.3,0.2,-0.1,-0.2
,,,,
Indiana,7.2,7.7,7.5,6.2
Bloomington,1.5,-0.1,-0.3,0.8
Columbus,0.2,0.1,0.2,0.0
Elkhart-Goshen,0.7,0.9,0.6,0.2
Evansville,0.5,0.4,0.2,-0.3
Fort Wayne,-0.2,0.9,0.6,0.4
Indianapolis-Carmel-Anderson,2.2,3.9,1.7,-0.6
Kokomo,-0.1,0.1,0.0,0.0
Lafayette-West Lafayette,0.4,0.4,0.1,0.3
Michigan City-La Porte,0.1,0.0,-0.1,-0.1
Muncie,0.4,0.1,0.2,0.1
South Bend-Mishawaka,0.1,0.0,0.3,0.1
Terre Haute,0.2,0.3,0.2,0.1
,,,,
Iowa,2.1,3.0,3.0,-0.1
Ames,0.5,0.1,0.2,0.2
Cedar Rapids,0.4,0.0,-0.2,-0.5
Des Moines-West Des Moines,0.9,1.7,0.9,-1.3
Dubuque,0.0,-0.2,-0.2,-0.2
Iowa City,0.3,0.1,0.1,0.0
Sioux City,-0.2,0.3,0.0,-0.2
