state,cbsasub21,areaname21,rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,state_alpha,pop2017,pop2010,hu2010,hu2017
48,METRO10180M10180,"Abilene, TX MSA",761,789,1028,1383,1764,TX,169000,165252,69721,70907
72,METRO10380M10380,"Aguadilla-Isabela, PR HUD Metro FMR Area",401,414,472,602,720,PR,284885,306292,138855,132749
72,METRO10380N72141,"Utuado Municipio, PR HUD Metro FMR Area",379,390,444,552,602,PR,30210,33149,14192,13315
39,METRO10420M10420,"Akron, OH MSA",607,712,911,1147,1235,OH,703400,703200,312581,314354
13,METRO10500M10500,"Albany, GA MSA",668,690,814,1054,1215,GA,153775,157308,66060,66842
41,METRO10540M10540,"Albany, OR MSA",839,908,1197,1681,1994,OR,121075,116672,48821,49688
36,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",873,984,1205,1499,1634,NY,881860,870716,393297,403044
35,METRO10740M10740,"Albuquerque, NM MSA",669,830,1013,1450,1742,NM,905050,887077,374404,385146
22,METRO10780M10780,"Alexandria, LA MSA",569,684,862,1142,1261,LA,154385,153922,64570,66716
42,METRO10900M10900,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",851,962,1230,1591,1668,PA,725700,712481,297275,302251
34,METRO10900MM5640,"Warren County, NJ HUD Metro FMR Area",995,1101,1356,1687,1839,NJ,107090,108692,44925,45398
42,METRO11020M11020,"Altoona, PA MSA",609,686,855,1063,1159,PA,124735,127089,56276,56646
48,METRO11100M11100,"Amarillo, TX HUD Metro FMR Area",670,751,965,1317,1498,TX,259745,249881,102546,107056
48,METRO11100N48359,"Oldham County, TX HUD Metro FMR Area",736,825,1060,1318,1645,TX,2085,2052,841,743
19,METRO11180M11180,"Ames, IA MSA",791,794,954,1354,1564,IA,95890,89542,36789,38783
2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",937,989,1303,1865,2256,AK,298225,291826,113032,115748
2,METRO11260N02170,"Matanuska-Susitna Borough, AK HUD Metro FMR Area",780,825,1086,1554,1880,AK,101135,88995,41329,41704
26,METRO11460M11460,"Ann Arbor, MI MSA",1118,1134,1374,1732,2057,MI,361510,344791,147573,149651
1,METRO11500M11500,"Anniston-Oxford-Jacksonville, AL MSA",510,580,764,998,1156,AL,115525,118572,53289,53655
55,METRO11540M11540,"Appleton, WI MSA",629,659,854,1173,1177,WI,233025,225666,92844,96192
72,METRO11640MM0470,"Arecibo, PR HUD Metro FMR Area",399,409,466,620,780,PR,163465,173552,75049,72359
72,METRO11640N72923,"Quebradillas Municipio, PR HUD Metro FMR Area",428,438,499,650,837,PR,24550,25919,10754,10387
37,METRO11700M11700,"Asheville, NC HUD Metro FMR Area",1176,1179,1372,1878,2374,NC,385770,365822,178683,186670
37,METRO11700N37087,"Haywood County, NC HUD Metro FMR Area",595,756,862,1081,1380,NC,59855,59036,34954,35295
13,METRO12020M12020,"Athens-Clarke County, GA MSA",710,749,873,1183,1373,GA,202780,192541,81719,84325
13,METRO12060M12060,"Atlanta-Sandy Springs-Roswell, GA HUD Metro FMR Area",1101,1126,1284,1615,1976,GA,5591255,5176116,2126420,2197800
13,METRO12060N13035,"Butts County, GA HUD Metro FMR Area",675,680,896,1201,1400,GA,23555,23655,9357,9357
13,METRO12060N13143,"Haralson County, GA HUD Metro FMR Area",687,691,830,1116,1391,GA,28720,28780,12287,12382
13,METRO12060N13171,"Lamar County, GA HUD Metro FMR Area",668,683,779,1011,1201,GA,18280,18317,7474,7558
13,METRO12060N13199,"Meriwether County, GA HUD Metro FMR Area",667,672,885,1197,1249,GA,21150,21992,9957,9980
13,METRO12060N13211,"Morgan County, GA HUD Metro FMR Area",684,689,908,1181,1572,GA,18015,17868,7472,7606
34,METRO12100M12100,"Atlantic City-Hammonton, NJ MSA",1012,1194,1509,2067,2302,NJ,272925,274549,126647,127809
1,METRO12220M12220,"Auburn-Opelika, AL MSA",634,672,885,1158,1318,AL,156595,140247,62391,67087
13,METRO12260M12260,"Augusta-Richmond County, GA-SC HUD Metro FMR Area",689,767,883,1200,1529,GA,581755,556877,236949,247995
13,METRO12260N13181,"Lincoln County, GA HUD Metro FMR Area",585,651,747,1009,1013,GA,7770,7996,4786,4857
48,METRO12420M12420,"Austin-Round Rock, TX MSA",1144,1309,1549,1997,2384,TX,2000595,1716289,706505,786584
6,METRO12540M12540,"Bakersfield, CA MSA",786,796,1039,1487,1799,CA,878745,839631,284367,293548
24,METRO12580M12580,"Baltimore-Columbia-Towson, MD MSA",997,1213,1505,1950,2233,MD,2792045,2710489,1132251,1151299
23,METRO12620MM0730,"Bangor, ME HUD Metro FMR Area",741,865,1107,1377,1811,ME,93355,93971,41407,42224
23,METRO12620N23019,"Penobscot County, ME (part) HUD Metro FMR Area",642,710,936,1164,1269,ME,58895,59952,32453,32993
25,METRO12700M12700,"Barnstable Town, MA MSA",1160,1334,1758,2203,2384,MA,213900,215888,160281,162629
22,METRO12940M12940,"Baton Rouge, LA HUD Metro FMR Area",852,918,1087,1385,1698,LA,795620,769097,317022,333704
22,METRO12940N22047,"Iberville Parish, LA HUD Metro FMR Area",685,746,869,1165,1345,LA,33120,33387,12707,13205
26,METRO12980M12980,"Battle Creek, MI MSA",591,707,895,1149,1228,MI,134325,136146,61042,60924
26,METRO13020M13020,"Bay City, MI MSA",544,626,825,1085,1132,MI,105350,107771,48220,48254
48,METRO13140M13140,"Beaumont-Port Arthur, TX HUD Metro FMR Area",702,752,935,1217,1280,TX,394480,388745,162334,168385
48,METRO13140N48351,"Newton County, TX HUD Metro FMR Area",553,592,734,1004,1007,TX,14185,14445,7142,7252
54,METRO13220N54019,"Fayette County, WV HUD Metro FMR Area",551,597,713,963,967,WV,44600,46039,21618,21563
54,METRO13220N54081,"Raleigh County, WV HUD Metro FMR Area",631,664,759,1044,1296,WV,77095,78859,35931,36173
53,METRO13380M13380,"Bellingham, WA MSA",951,1020,1306,1869,2261,WA,212740,201140,90665,94452
41,METRO13460M13460,"Bend-Redmond, OR MSA",907,1113,1354,1938,2344,OR,175320,157733,80139,85012
30,METRO13740M13740,"Billings, MT HUD Metro FMR Area",672,773,1019,1408,1674,MT,166795,158050,70384,75104
30,METRO13740N30037,"Golden Valley County, MT HUD Metro FMR Area",563,648,854,1222,1403,MT,745,884,476,455
36,METRO13780M13780,"Binghamton, NY MSA",662,685,886,1170,1344,NY,245445,251725,112766,113154
1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",891,950,1093,1421,1537,AL,1035360,1017381,449931,460950
1,METRO13820N01021,"Chilton County, AL HUD Metro FMR Area",657,691,788,1128,1172,AL,43805,43643,19278,19518
1,METRO13820N01127,"Walker County, AL HUD Metro FMR Area",575,579,763,949,1035,AL,64925,67023,30816,30988
38,METRO13900M13900,"Bismarck, ND HUD Metro FMR Area",764,769,945,1352,1544,ND,122430,108779,47833,55427
38,METRO13900N38065,"Oliver County, ND HUD Metro FMR Area",615,619,761,1073,1225,ND,1820,1846,905,1004
38,METRO13900N38085,"Sioux County, ND HUD Metro FMR Area",553,557,734,913,1141,ND,4420,4153,1311,1340
51,METRO13980M13980,"Blacksburg-Christiansburg-Radford, VA HUD Metro FMR Area",854,922,1051,1504,1820,VA,115070,110800,44996,46078
51,METRO13980N51063,"Floyd County, VA HUD Metro FMR Area",618,633,721,1032,1248,VA,15595,15279,7790,7981
51,METRO13980N51071,"Giles County, VA HUD Metro FMR Area",531,690,787,1035,1158,VA,16865,17286,8319,8346
51,METRO13980N51155,"Pulaski County, VA HUD Metro FMR Area",657,671,767,1069,1268,VA,34330,34872,17235,17289
17,METRO14010M14060,"Bloomington, IL  HUD Metro FMR Area",644,729,911,1298,1577,IL,173230,169572,69656,71852
17,METRO14010N17039,"De Witt County, IL HUD Metro FMR Area",495,557,700,981,985,IL,16175,16561,7521,7565
18,METRO14020MM1020,"Bloomington, IN HUD Metro FMR Area",721,792,981,1349,1698,IN,144435,137974,59107,60757
18,METRO14020N18119,"Owen County, IN HUD Metro FMR Area",595,599,754,1072,1305,IN,20955,21575,10091,10117
42,METRO14100N42037,"Columbia County, PA HUD Metro FMR Area",737,742,881,1096,1267,PA,66615,67295,29498,29970
42,METRO14100N42093,"Montour County, PA HUD Metro FMR Area",770,775,952,1286,1291,PA,18300,18267,7965,8128
16,METRO14260M14260,"Boise City, ID HUD Metro FMR Area",718,842,1054,1494,1732,ID,660495,599842,238953,255962
16,METRO14260N16045,"Gem County, ID HUD Metro FMR Area",630,736,922,1212,1333,ID,16850,16719,7099,7224
25,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",1842,2034,2470,3072,3349,MA,3493520,3320390,1395948,1431122
25,METRO14460MM1200,"Brockton, MA HUD Metro FMR Area",1104,1270,1674,2115,2460,MA,253060,246362,93569,94312
25,METRO14460MM4160,"Lawrence, MA-NH HUD Metro FMR Area",1045,1219,1566,1948,2124,MA,433610,417794,162230,166422
25,METRO14460MM4560,"Lowell, MA HUD Metro FMR Area",1147,1282,1663,2068,2255,MA,313580,297547,113435,117331
