National Association of REALTORS®,,,,,,,,,,
Median Sales Price of Existing Single-Family Homes for Metropolitan Areas,,,,,,,,,,
,,,,,,,,,,
Metropolitan Area,2019,2020,2021,2021.III,2021.IV,2022.I,2022.II r,2022.III p,Q3-Q3,
,,,,,"(Not Seasonally Adjusted, 000s)",,,,%Chya,
U.S.,274.6,300.2,357.1,367.1,364.3,372.0,412.7,398.5,8.6%,
NE,301.9,341.7,394.1,410.8,390.3,394.5,438.7,444.3,8.2%,
MW,214.5,235.4,263.3,272.2,260.3,256.7,297.5,290.3,6.6%,
CBSA      SO,241.9,265.1,317.5,325.1,332.5,341.2,376.0,363.9,11.9%,
Code       WE,405.2,451.5,558.8,576.8,571.1,590.6,646.1,619.4,7.4%,
"10180        Abilene, TX",179.8,193.5,215.4,215.6,221.7,244.0,255.8,251.0,16.4%,
"10420        Akron, OH",155.0,168.1,179.8,188.7,186.1,168.0,206.8,215.5,14.2%,
"10580        Albany-Schenectady-Troy, NY",218.8,232.5,257.6,273.1,261.5,251.2,285.6,295.4,8.2%,
"10740        Albuquerque, NM",225.0,248.1,292.5,298.7,307.4,321.7,345.4,339.5,13.7%,
"10900        Allentown-Bethlehem-Easton, PA-NJ",207.2,234.9,266.4,279.5,267.7,277.2,296.1,314.8,12.6%,
"11100        Amarillo, TX",165.1,183.5,202.1,208.6,201.1,203.8,227.1,224.0,7.4%,
"11244        Anaheim-Santa Ana-Irvine, CA",825.0,900.0,1099.0,1100.0,1150.0,1260.0,1300.0,1200.0,9.1%,
"11460        Ann Arbor, MI",294.7,312.4,348.8,358.3,333.4,340.5,408.7,377.2,5.3%,
"11540        Appleton, WI",189.2,202.8,241.0,253.3,239.0,244.5,276.1,272.3,7.5%,
"11700        Asheville, NC",285.3,326.4,378.6,387.6,390.6,399.6,440.8,438.1,13.0%,
"12060        Atlanta-Sandy Springs-Marietta, GA",233.2,260.8,317.2,325.7,339.5,350.3,379.7,371.2,14.0%,
"12100        Atlantic City-Hammonton, NJ",210.2,247.2,293.3,296.1,312.1,304.1,332.9,321.7,8.6%,
"12420        Austin-Round Rock, TX",329.2,367.1,488.6,498.4,485.4,540.7,613.2,541.6,8.7%,
"12580        Baltimore-Columbia-Towson, MD",299.4,328.5,358.1,370.3,353.8,350.9,396.2,390.6,5.5%,
"12700        Barnstable Town, MA",430.0,494.6,617.8,615.9,642.1,650.6,721.8,684.2,11.1%,
"12940        Baton Rouge, LA",216.4,229.7,249.4,255.4,251.5,261.8,275.2,271.6,6.3%,
"13140        Beaumont-Port Arthur, TX",168.7,180.3,199.7,203.1,204.5,214.3,221.7,214.0,5.4%,
"13780        Binghamton, NY",119.4,127.7,145.5,160.7,148.4,136.9,155.8,158.9,-1.1%,
"13820        Birmingham-Hoover, AL",221.6,246.2,271.2,273.6,276.2,289.5,318.8,308.0,12.6%,
"13900        Bismarck, ND",250.7,261.4,273.7,281.6,268.4,258.3,286.1,270.1,-4.1%,
"14010        Bloomington, IL",158.7,165.9,184.3,199.1,180.9,186.3,219.2,217.7,9.3%,
"14260        Boise City-Nampa, ID",294.2,353.9,468.6,480.8,473.8,491.4,521.8,483.8,0.6%,
"14460        Boston-Cambridge-Newton, MA-NH",491.9,563.7,642.2,657.8,635.7,639.0,722.2,698.9,6.2%,
"14500        Boulder, CO",618.6,645.9,782.7,769.4,775.1,859.1,933.4,826.9,7.5%,
"14540        Bowling Green, KY",186.6,198.7,236.4,230.1,253.4,240.9,261.8,260.9,13.4%,
"14860        Bridgeport-Stamford-Norwalk, CT",445.6,544.0,630.0,658.9,578.4,587.1,700.6,687.0,4.3%,
"15380        Buffalo-Cheektowaga-Niagara Falls, NY",160.9,178.5,209.9,231.8,216.7,202.3,237.2,243.8,5.2%,
"15540        Burlington-South Burlington, VT",308.3,342.9,389.2,410.2,402.7,393.0,462.7,453.7,10.6%,
"15940        Canton-Massillon, OH",139.4,155.4,168.8,175.3,175.4,167.6,179.4,181.3,3.4%,
"15980        Cape Coral-Fort Myers, FL",258.7,289.0,360.0,360.0,380.0,420.0,460.1,420.0,16.7%,
"16020        Cape Girardeau, MO-IL",154.7,169.3,186.4,182.3,193.6,178.8,201.2,213.7,17.2%,
"16300        Cedar Rapids, IA",165.6,173.1,182.8,187.0,182.5,176.1,201.0,207.7,11.1%,
"16580        Champaign-Urbana, IL",157.1,168.6,178.3,187.0,174.6,169.3,204.3,200.4,7.2%,
"16700        Charleston-North Charleston, SC",293.5,324.4,375.2,375.1,391.0,388.9,439.5,416.8,11.1%,
"16620        Charleston, WV",137.6,147.5,161.3,167.9,164.8,158.9,174.7,171.8,2.3%,
"16740        Charlotte-Concord-Gastonia, NC-SC",258.6,296.2,354.1,363.5,370.3,379.9,414.3,400.6,10.2%,
"16860        Chattanooga, TN-GA",193.3,220.1,255.3,259.4,269.9,281.0,299.8,293.6,13.2%,
"16980        Chicago-Naperville-Elgin, IL-IN-WI",265.1,287.6,330.4,337.8,318.1,325.4,370.1,349.4,3.4%,
"17140        Cincinnati, OH-KY-IN",185.6,208.9,243.4,253.5,244.5,244.3,277.9,268.4,5.9%,
"17460        Cleveland-Elyria, OH",164.1,179.5,198.8,212.9,195.7,192.7,225.6,227.7,7.0%,
"17820        Colorado Springs, CO",320.5,361.7,432.9,441.2,442.7,455.0,480.9,462.2,4.8%,
"17860        Columbia, MO",206.4,225.4,255.0,260.8,253.4,266.8,304.0,287.6,10.3%,
"17900        Columbia, SC",185.0,202.9,233.2,237.7,241.3,254.9,277.9,278.0,17.0%,
"18140        Columbus, OH",216.6,240.8,274.1,286.3,272.8,274.3,322.2,312.1,9.0%,
"18580        Corpus Christi, TX",201.1,225.4,250.0,252.2,252.7,259.9,281.6,281.0,11.4%,
"18880        Crestview-Fort Walton Beach-Destin, FL",285.7,339.9,384.1,378.0,395.7,415.0,440.0,413.7,9.4%,
"19060        Cumberland, MD-WV",106.7,120.9,132.9,143.0,137.9,128.6,139.0,136.6,-4.5%,
"19100        Dallas-Fort Worth-Arlington, TX",268.6,287.2,336.7,345.2,350.0,365.4,408.2,390.1,13.0%,
"19340        Davenport-Moline-Rock Island, IA-IL",135.4,142.8,152.3,158.2,147.5,146.1,159.7,172.0,8.7%,
"19380        Dayton, OH",157.8,175.8,193.1,195.2,195.1,187.2,231.7,224.2,14.9%,
"19460        Decatur, AL",154.0,175.2,204.2,219.4,217.9,237.4,232.1,240.5,9.6%,
"19500        Decatur, IL",96.5,102.2,112.6,117.1,110.4,107.3,122.8,122.7,4.8%,
"19660        Deltona-Daytona Beach-Ormond Beach, FL",225.0,244.9,290.0,300.0,309.0,330.0,354.9,358.9,19.6%,
"19740        Denver-Aurora-Lakewood, CO",462.1,492.7,607.1,614.8,617.6,662.2,695.8,666.0,8.3%,
"19780        Des Moines-West Des Moines, IA",214.5,229.6,258.2,265.7,260.3,259.5,288.1,281.7,6.0%,
"19820        Detroit-Warren-Deaborn, MI",195.8,221.3,245.7,259.5,240.8,224.3,271.1,266.0,2.5%,
"20100        Dover, DE",218.2,241.2,283.8,294.3,296.5,279.1,314.9,316.1,7.4%,
"20500        Durham-Chapel Hill, NC",295.9,326.3,397.9,417.0,414.8,418.0,491.8,458.5,10.0%,
"20524        Dutchess County-Putnam County, NY",308.0,350.1,397.0,424.6,411.2,402.9,442.9,453.7,6.9%,
"21300        Elmira, NY",112.5,120.4,142.0,148.4,147.9,139.5,148.3,156.6,5.5%,
"21340        El Paso, TX",164.4,177.8,200.8,208.4,212.2,225.0,236.5,241.5,15.9%,
"21500        Erie, PA",125.3,135.1,146.6,157.1,148.9,142.1,159.7,166.8,6.2%,
"21660        Eugene, OR",308.6,354.9,417.1,432.9,426.9,443.8,471.2,475.3,9.8%,
"22020        Fargo, ND-MN",221.0,233.5,255.9,264.3,252.4,269.0,289.4,286.3,8.3%,
"22140        Farmington, NM",186.7,198.7,215.7,224.4,217.1,240.7,252.1,243.0,8.3%,
"22180        Fayetteville, NC",144.4,163.2,189.8,196.5,193.3,198.4,222.6,227.4,15.7%,
"22220        Fayetteville-Springdale-Rogers, AR-MO",203.0,226.3,271.2,281.9,283.4,306.9,350.0,328.4,16.5%,
"22500        Florence, SC",146.1,166.5,183.2,190.5,193.8,208.8,204.9,216.1,13.4%,
"22540        Fond du Lac, WI",145.7,157.4,177.0,176.3,178.3,168.1,194.2,200.6,13.8%,
"22660        Fort Collins, CO",420.8,446.0,514.3,538.2,556.1,602.4,630.9,602.7,12.0%,
"23060        Fort Wayne, IN",155.3,169.3,189.9,196.6,193.4,197.3,223.4,215.2,9.5%,
"23420        Fresno, CA",281.6,314.0,370.0,375.0,387.5,405.0,424.5,410.0,9.3%,
"23540        Gainesville, FL",240.0,255.0,299.6,308.7,306.3,310.0,357.3,349.5,13.2%,
"23844        Gary-Hammond, IN",183.6,203.4,223.3,233.0,229.6,233.7,252.1,257.5,10.5%,
