CBSA,MDIV,STCOU,NAME,LSAD,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RESIDUAL2020,RESIDUAL2021
10180,,,"Abilene, TX",Metropolitan Statistical Area,176579,176809,177314,230,505,569,2108,510,2133,59,-25,5,73,162,436,167,509,4,21
10180,,48059,"Callahan County, TX",County or equivalent,13708,13750,14115,42,365,33,131,51,214,-18,-83,0,0,59,455,59,455,1,-7
10180,,48253,"Jones County, TX",County or equivalent,19663,19676,19873,13,197,43,143,43,200,0,-57,0,0,12,253,12,253,1,1
10180,,48441,"Taylor County, TX",County or equivalent,143208,143383,143326,175,-57,493,1834,416,1719,77,115,5,73,91,-272,96,-199,2,27
10420,,,"Akron, OH",Metropolitan Statistical Area,702219,701305,700015,-914,-1290,1676,6883,2232,8723,-556,-1840,31,526,-365,-98,-334,428,-24,122
10420,,39133,"Portage County, OH",County or equivalent,161791,161775,162382,-16,607,330,1328,439,1727,-109,-399,9,143,89,843,98,986,-5,20
10420,,39153,"Summit County, OH",County or equivalent,540428,539530,537633,-898,-1897,1346,5555,1793,6996,-447,-1441,22,383,-454,-941,-432,-558,-19,102
10500,,,"Albany, GA",Metropolitan Statistical Area,148922,148417,147773,-505,-644,424,1758,539,1835,-115,-77,0,24,-391,-608,-391,-584,1,17
10500,,13095,"Dougherty County, GA",County or equivalent,85790,85366,84844,-424,-522,266,1152,314,1190,-48,-38,0,18,-377,-516,-377,-498,1,14
10500,,13177,"Lee County, GA",County or equivalent,33163,33179,33411,16,232,79,324,99,301,-20,23,0,5,35,200,35,205,1,4
10500,,13273,"Terrell County, GA",County or equivalent,9185,9153,8964,-32,-189,25,97,44,108,-19,-11,0,0,-13,-175,-13,-175,0,-3
10500,,13321,"Worth County, GA",County or equivalent,20784,20719,20554,-65,-165,54,185,82,236,-28,-51,0,1,-36,-117,-36,-116,-1,2
10540,,,"Albany-Lebanon, OR",Metropolitan Statistical Area,128610,128936,129839,326,903,380,1430,401,1640,-21,-210,-1,7,352,1099,351,1106,-4,7
10540,,41043,"Linn County, OR",County or equivalent,128610,128936,129839,326,903,380,1430,401,1640,-21,-210,-1,7,352,1099,351,1106,-4,7
10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,899262,898561,899286,-701,725,2110,8239,2282,9721,-172,-1482,8,504,-510,1572,-502,2076,-27,131
10580,,36001,"Albany County, NY",County or equivalent,314848,314368,313743,-480,-625,691,2795,794,3197,-103,-402,9,275,-380,-561,-371,-286,-6,63
10580,,36083,"Rensselaer County, NY",County or equivalent,161130,160923,160232,-207,-691,407,1510,399,1913,8,-403,2,72,-214,-387,-212,-315,-3,27
10580,,36091,"Saratoga County, NY",County or equivalent,235509,235689,237359,180,1670,529,1966,551,2472,-22,-506,0,64,213,2101,213,2165,-11,11
10580,,36093,"Schenectady County, NY",County or equivalent,158061,157861,158089,-200,228,417,1729,449,1751,-32,-22,-2,91,-163,129,-165,220,-3,30
10580,,36095,"Schoharie County, NY",County or equivalent,29714,29720,29863,6,143,66,239,89,388,-23,-149,-1,2,34,290,33,292,-4,0
10740,,,"Albuquerque, NM",Metropolitan Statistical Area,916528,917179,918259,651,1080,2254,8857,2377,9860,-123,-1003,56,713,736,1283,792,1996,-18,87
10740,,35001,"Bernalillo County, NM",County or equivalent,676444,676581,674393,137,-2188,1706,6602,1775,7387,-69,-785,48,614,168,-2119,216,-1505,-10,102
10740,,35043,"Sandoval County, NM",County or equivalent,148834,149218,151369,384,2151,314,1341,357,1433,-43,-92,4,34,427,2219,431,2253,-4,-10
10740,,35057,"Torrance County, NM",County or equivalent,15045,15051,15307,6,256,45,145,46,181,-1,-36,0,8,8,286,8,294,-1,-2
10740,,35061,"Valencia County, NM",County or equivalent,76205,76329,77190,124,861,189,769,199,859,-10,-90,4,57,133,897,137,954,-3,-3
10780,,,"Alexandria, LA",Metropolitan Statistical Area,152192,151736,150890,-456,-846,423,1820,486,2021,-63,-201,0,41,-395,-706,-395,-665,2,20
10780,,22043,"Grant Parish, LA",County or equivalent,22169,22129,22236,-40,107,52,265,57,240,-5,25,0,8,-36,70,-36,78,1,4
10780,,22079,"Rapides Parish, LA",County or equivalent,130023,129607,128654,-416,-953,371,1555,429,1781,-58,-226,0,33,-359,-776,-359,-743,1,16
10900,,,"Allentown-Bethlehem-Easton, PA-NJ",Metropolitan Statistical Area,861889,861705,865310,-184,3605,2052,8206,2367,9672,-315,-1466,43,782,123,4195,166,4977,-35,94
10900,,34041,"Warren County, NJ",County or equivalent,109632,109595,110731,-37,1136,220,902,290,1161,-70,-259,1,48,38,1352,39,1400,-6,-5
10900,,42025,"Carbon County, PA",County or equivalent,64749,64751,65412,2,661,131,501,189,926,-58,-425,0,4,66,1094,66,1098,-6,-12
10900,,42077,"Lehigh County, PA",County or equivalent,374557,374504,375539,-53,1035,1015,4155,1026,4025,-11,130,39,544,-75,284,-36,828,-6,77
10900,,42095,"Northampton County, PA",County or equivalent,312951,312855,313628,-96,773,686,2648,862,3560,-176,-912,3,186,94,1465,97,1651,-17,34
